repository_name_with_owner;Project;description;repository_url;commit_hash
agapple/mapping4java;mapping4java;googlecode mapping4java project as open source.;https://github.com/agapple/mapping4java;407ab35ccff99e3b7a6fef3d0b2416c9239827e9
agapsys/embedded-servlet-container;servlet-testing-framework;A framework for servlet/filter testing;https://github.com/agapsys/servlet-testing-framework;28314a2600ad8550ed2c901d8e35d86583c26bb0
agapsys/rcf;rcf;REST Controller Framework for java back-end applications;https://github.com/agapsys/rcf;5c09451af74710fcf48c3c599dc357b4607e9368
agapsys/security-framework;security-framework;Action-based security framework for java applications;https://github.com/agapsys/security-framework;89f0cb1917c98af1d755b74e8895491999f56072
agapsys/smtp-sender;smtp-sender;Simple SMTP sender for java applications;https://github.com/agapsys/smtp-sender;08395ffb663f24f4cd9b293dadc514e2221f0571
agapsys/web-app-toolkit;web-app-toolkit;Essential tools for back-end applications;https://github.com/agapsys/web-app-toolkit;7bd341ae2e0531e89444a5a147d520e51f5bac1a
agapsys/web-security-framework;web-security-framework;Action-based security framework for servlet applications;https://github.com/agapsys/web-security-framework;a709f7ee59705a3b8b8097f3de97d5a00595493d
agibalov/socialauth;socialauth;A minimalist social authentication library for Java;https://github.com/loki2302/socialauth;65d76b6511293cedf828ff0d819df9d989e46944
agilarity/osmo-sugar;osmo-sugar;Provides support for model based testing with OSMO;https://github.com/agilarity/osmo-sugar;b4cdc26c0e8a6bdd46a70ea517cf7419b688989b
AgileTestingFramework/atf-toolbox-java;atf-toolbox-java;Automation Testing Framework Toolbox Provides simple automation.;https://github.com/AgileTestingFramework/atf-toolbox-java;b06204f3ae457689807767c0f65d83beff3f22b3
aglover/ahoy;ahoy;Ahoy! is an asynchronous SQS adapter for AWS's Java SQS library.;https://github.com/aglover/ahoy;e9b53a514f95a9b5c36b9a7d76a0e03d89568825
agmenc/lijq;lijq;lijq;https://github.com/agmenc/lijq;42ec7e99e7e35e9a98d0116df08a8a7a6171e673
agmenc/Pettswood;Pettswood;pettswood;https://github.com/agmenc/Pettswood;b2f9f094512bc1da97aeb70b8f069aaf82979e95
agmenc/planet7;planet7;planet7;https://github.com/agmenc/planet7;3eae975dfd03af62688ecc3db9a2176e08112c0a
agmip/ace-core;ace-core;AgMIP Crop Experiment Core Library;https://github.com/agmip/ace-core;51957e79b4567d0083c52d0720f4a268c3a02f44
agmip/ace-lookup;ace-lookup;Generic pathfinding and lookup library for the ACE (AgMIP Crop Experiment) database.;https://github.com/agmip/ace-lookup;d8224a231cb8c01729e63010916a2a85517ce4c1
agmip/acmo;acmo;AgMIP ACMO Library;https://github.com/agmip/acmo;cf609b272ed7344abd2e2bef3d0060d2afa81cb0
agmip/acmo-dssat;acmo-dssat;DSSAT ACMO Translator;https://github.com/agmip/acmo-dssat;1a4621df9b1a15915b33206fe13f7d73abe02114
agmip/agmip-common-functions;agmip-common-functions;A library of functions which can be used in various sub-projects;https://github.com/agmip/agmip-common-functions;4efa3042178841b026ca6fba9c96da02fbfb9a8e
agmip/agmip-core;agmip-core;The AgMIP core library which contains generic definitions for common objects within AgMIP;https://github.com/agmip/agmip-core;b1bc48fe8b41f170aa5f366fee8696bf9b274f55
agmip/dome;dome;The Illustrious DOME (Data Overlay for Multimodel Export);https://github.com/agmip/dome;ca7c15bf2bae09bb7e8d51160e77592bbda9343d
agmip/testFrame;testFrame;;https://github.com/agmip/testFrame;5e93a246195691a0a138b990c1c76247f7021157
agogs/securekey-maven-plugin;securekey-maven-plugin;Your project description here;https://github.com/agogs/securekey-maven-plugin;465b9bd8ab137324e62a3b3da50b7a8946e15a1b
agoragames/java-leaderboard;java-leaderboard;Leaderboards backed by Redis in Java;https://github.com/agoragames/java-leaderboard;737335a911b50ea1960cb8e54c8779759e434062
agoston/com-bol-ip;com-bol-ip;High performance, low memory IP library (originally developed for RIPE NCC Whois server);https://github.com/agoston/com-bol-ip;f7aaef55f7ebb1f6da21eacbbcb1eb3b2230a80c
ahabra/funj;funj;Collections and functional support;https://github.com/ahabra/funj;372946d4ef61aa5d6bfbaf24b44008f2d67c4a0b
